md5	genreid	genre	moduleid	filename
c69d04239a288fe6a0ddc665c8e26ce8	56	Ballad	174116	robric924.mod
c6a29c8ba080c52e2440d620b0e4b3a2	54	Chiptune	166850	jk_darkness.xm
c6a43fb17b39fe06bf6e5f41ce3a4206	8	Video Game	158976	galaxy_incindent.it
c6a59a8492c412ee2beaf53ae8656607	54	Chiptune	137435	summer_bitch.xm
c6a607cd54564e0f6451e90636792482	29	Jazz (general)	90973	el_mariachi.mod
c6a6522a821753457bd99a9382281d28	100	Electronic - Other	202174	scarab6_frsergeyisgay.xm
c6aecc09b1db40d0e1d301aed459cdd0	36	Metal (general)	155669	pip-chisel.it
c6b432f0b22e0727d9a9d3c18bcd4694	13	Rock (general)	43600	giftflight.it
c6b6fc7a122fa8508861e3d3f488c22e	36	Metal (general)	155694	frsotstone2.mod
c6b76ed8ed71fe30cb22f4cddc17a1ce	71	Trance (general)	58521	take_a_trip.xm
c6baeaab163e21ff39b914402df560f1	2	Electronic - Ambient	213191	cyclar2_and_luna197_-_melt.it
c6bbc5fc556356b8fddbb631f83367af	34	Electronic - Industrial	179756	rave669_-_diabolic.s3m
c6be68349fb0e540a69904d846f31da8	36	Metal (general)	43393	fr_indrm.s3m
c6bfeeae70f9e529b6d9c8a1819e3a68	54	Chiptune	169814	jk_every.xm
c6c010b701544df16a7da63a2fd35f7d	59	Piano	39480	dl-10.it
c6c0f788f0648fbc5cac09dad76fab23	39	Electronic - Hardcore	198876	tempo_-_raivo_ko.xm
c6cd8b1fb3acb30006132a30f6e2fbf2	13	Rock (general)	42690	flshdanc.s3m
c6d2bced7ae67e8c49ae8c00dfcf875a	3	Electronic - Dance	197998	cebu002.it
c6d3fd79202b06743aba4ef18ad4379f	55	Demo Style	58182	t-fallen.it
c6d4ad8b002c01a74436c24a035004c1	48	Alternative	196919	potajoe_-bitcrushed_boogie.mod
c6d4c387a54db49c474034d29192cb52	7	Electronic - Techno	45087	jazz.s3m
c6d5c5d7a7168c5784f37f48ef96e6ad	106	Chillout	210918	sixtyforce_-_ramen_riddim.xm
c6d902469897e8418a6f39c1987b5bff	2	Electronic - Ambient	213480	misc_end_of_level.mod
c6db42ec233e779501d5d0e99f7ff85e	7	Electronic - Techno	73301	above_the_sky.s3m
c6dc09ad26dd4a4f1af0e50de75fc49e	56	Ballad	50092	me.xm
c6e1203d24afaa2af73d78026bf01fa0	7	Electronic - Techno	64043	zog.it
c6e1ab82b581fef98fe3e009339b614e	2	Electronic - Ambient	139430	access_for_all.xm
c6e1e8db47cd1b51e345f3dd6d021bba	85	Trance - Progressive	172939	miafan2010_-_aryx_trance_mix.it
c6e6d3009f4f406002682eb39262cc3a	100	Electronic - Other	173634	scott_lee_-_hugo.mod
c6ec0bd1bc9f339e9feed95cbd085206	63	Trance - Acid	93537	acid_teknique.mod
c6edc7d85d603fb498696084b8851a18	7	Electronic - Techno	35082	ballmain.mod
c6edec1b78b95d6d041cb5f9b2635fa6	55	Demo Style	62170	swalk2.it
c6f21d0c15175d0620724ba920e9cc76	27	Reggae	177812	turtle_tune.mod
c6f2d53d2b4435eda1c76f976612dd66	46	Experimental	105489	affelyd.mod
c6f7cc2bf1aa9d33632726acda2b6525	100	Electronic - Other	192387	undersea_portal.it
c6f7e5e2320963743ee0e6ebcb0393b4	54	Chiptune	53742	pd-dtd.xm
c6f86d437a7874cb1482928eee5d8a3c	13	Rock (general)	62653	yeahrmx.it
c6f8940fa4fbd7909673b579ca901497	54	Chiptune	195782	8bit_castle.mod
c6fc515274ec1447f5454144e72f2063	18	Country	35418	battle.s3m
c6ffa735f0732107dbaf5ba32677b0ea	7	Electronic - Techno	87300	baby_love_me.mod
c70158bf326a753a96b88e6443949424	40	Electronic - Gabber	185416	veniek-mr_zavitzz.xm
c701f46c970fba259e4b51a0de0d4f4f	52	Fantasy	65035	bst_ems2.it
c70420ba82bc6b422b49a8a324f99416	58	Disco	61683	70sporn.xm
c704a912e5374267a757bb73839e38b1	56	Ballad	48739	lonesome.mod
c7059cb2e8b2ed453f75ce896cf58c2c	8	Video Game	154712	wayfarer.it
c705d36faafd6ed0884f95e77f4a755a	61	Pop - Synth	51759	nova_x.it
c7089eefc48afb6543f6da0e570d8bc8	54	Chiptune	36819	chippie.xm
c70ad30f769cd280ee551d95047a2288	32	Funk	166994	fizzypopmachine.xm
c70cba745f1c81dc2a5b033209fd0a32	3	Electronic - Dance	207074	elokuu_2001.xm
c70fdfd2da80cb35c43863cb27b8229a	54	Chiptune	183062	nikku4211_-_above.it
c7131d61888ed302183aa799721baabf	53	One Hour Compo	66308	hyo-compo48.it
c718cbf4375201abc7be6e04d489aee3	9	Electronic - Breakbeat	36549	bfnogood.xm
c7194a818b60b652dd8648764d69d8e5	9	Electronic - Breakbeat	199263	tempo_-_i_ve_lost_my_r-type.xm
c719fade70b41eec9bd2129e804d3195	56	Ballad	62972	xr-rise.it
c71b84b6d71c675d99ba0d74991a61e3	54	Chiptune	166900	8-bitten.xm
c71e96371b3ceb3965d1dae159fcb396	56	Ballad	50535	memoftragedy.it
c722eeefddd3ed39f341f88b307d7bc4	55	Demo Style	72831	drift.s3m
c724302b65d7fc7935d269f38638c8ab	2	Electronic - Ambient	50871	op_club_night.xm
c724e34cb626ea14a9f9d835006c1e88	43	Soundtrack	33436	amech.it
c729c4049c73f37edcc540838b1d0350	63	Trance - Acid	48359	MIRROR.MOD
c72a4fa5509819c68b345bdc715e162c	41	Other	156790	tracker_meeting_98.it
c72ae13d04c8a440a652317f7d6e30bb	55	Demo Style	169747	bass_system-itzel-abc_bst_duet-.xm
c72d0061bc82a9840567246bb5c53196	41	Other	37967	bo_sft.it
c72d7c4d95322b914c17ec42e8b84153	107	Easy Listening	98008	nothing_matters.mod
c72ddd8abd5d371864076283a01d9926	46	Experimental	45576	indust.mod
c72e8d002f65b74da206f36f6e6d89e1	48	Alternative	162203	legloumph.mod
c72edd3dc096a14af23a1b1aaaef6902	56	Ballad	63718	zepend.it
c72f324a181a89a34c8b11379b66a0e2	7	Electronic - Techno	54492	redyflow.xm
c72f38b4a5e7bdab804f722356548e3b	71	Trance (general)	163376	tjz-sbt.it
c730b956bc6d296f10d3fbebde083f7f	12	Pop (general)	168697	if_cloud_knows.xm
c730f88fe407a4a64c8699d67b5adbd5	7	Electronic - Techno	154776	mdg-eter.xm
c73144f69d51eca74f77489a5d729416	54	Chiptune	66610	tak.mod
c73160c32cdf2f129632425927bc2580	54	Chiptune	154524	cyborgjeff-6463txt.it
c7328c4161fcf183406157ff78c077cc	60	Electronic - Jungle	92727	real_kaoz.mod
c732e578f3b763cba42b7f614830ffe3	54	Chiptune	178593	wow25_-_angry_rag.xm
c7346741e7a07b57781c1b9ce6f3152a	7	Electronic - Techno	59582	starwars.s3m
c7350bd35982943abf7423ef9c928c42	50	Orchestral	172727	sme.it
c735f4a96441ab51f1b33d90092543d8	54	Chiptune	209169	bobbyprince-deepintothecode.mod
c73739126d9f2e6ca0db5646e71deda6	54	Chiptune	183682	the_sickening.mod
c739136302df2caa706595560583974d	3	Electronic - Dance	46409	iph-ldis.xm
c73a0361477f5a6f0ad760fe1e214964	54	Chiptune	194923	ninja_-_oldsk8l.it
c73da04c2f1c0bfecb61ab5826502ec2	7	Electronic - Techno	46834	iwos.xm
c73f810d0bd0b99312531e3d14ae1167	1	Electronic (general)	169683	k_what.xm
c7441544497edf70404dbee0265018a9	7	Electronic - Techno	58226	t-leormx.xm
c745a48fc975e1ff7389dd0b89226327	2	Electronic - Ambient	52159	ml_siege.xm
c745ce5f1e2131364a07d25bb676d916	71	Trance (general)	49208	n_higher.xm
c7495d4c8f002b9f3e58c78110469149	2	Electronic - Ambient	179734	neworder.mptm
c74c78a11a7930674f1ce4199482843f	55	Demo Style	44206	groove-portion.mod
c74ff8dc0f6794bcfe0f978ab67ad9f3	7	Electronic - Techno	110100	dark_trip.mod
c7508b46f84dbd3fd9b06770a5dc0f6d	62	Pop - Soft	198920	mr_theater_-_nostalgic.it
c754133e9be51dc187e47019e4642b17	54	Chiptune	195394	renard_-_who_give_a_fuck.xm
c75730ab4cc228b4ca62ef7ade4de012	54	Chiptune	174606	ievpolkrmx.xm
c75935b9c05c184826e905cfb431f949	10	Electronic - House	165642	kill_her3.xm
c75b0ff1af7754717db04ff46ba640e9	54	Chiptune	53949	pd-lr.xm
c75bb3f087c5b305b91f9c97890966f8	54	Chiptune	212897	fookyduck.mod
c75bda4592aa6cc69ddcdae5c9e567eb	67	Trance - Dream	40468	cyborgjeff-mamour1.it
c75be81295f1017aa8ff074d772b3d62	2	Electronic - Ambient	156920	trip_to_paris.it
c75f6a50c8811f17c91b1013cf751693	15	Rock - Soft	60099	wait4u.it
c7600fa5f6434bc753a5b46ebff232f0	2	Electronic - Ambient	41894	emotion.s3m
c760a2938d7a934b0149ce49acb2e10f	3	Electronic - Dance	33633	ank_fish.xm
c7613f9234e48a00c001ac891b59e27d	13	Rock (general)	61131	vr_fnth.xm
c7622be4f405cb11318170aa93e644db	61	Pop - Synth	136049	question_of_guilt.xm
c76409f23c5aaf181a3179f5d14275c4	54	Chiptune	168446	psychodelic.xm
c7665312ab09e852e8b1ae042aadfce4	32	Funk	165053	pip-thehippospotamus.it
c768fcc320c4983ec091276a89af3749	7	Electronic - Techno	35507	bbbastic.it
c76caeedfbfc6f15837d5e6279a7d629	2	Electronic - Ambient	46276	jos-mbch.xm
c76d7729a47d74d3b3b0d30c72e239aa	55	Demo Style	138775	linda.xm
c76fa726a5e241db8ebb217a9defae83	65	Electronic - Rave	125199	intel_toilet.mod
c76fde73057863afb491f99a86f1d5b0	66	Trance - Goa	199251	dj-miss-pimkie_-_mama.mod
c7704570c9ab2d5e0229c133166f5638	59	Piano	182150	mstflwr.mod
c775dbfa2d01d35d0fa38701d9ff3a2a	54	Chiptune	58240	spk2oo5_florida.xm
c779f1698467b5d64d9b0ace890f6228	6	Electronic - Drum &amp; Bass	126990	aftertouch.mod
c77a29dc14a47578ff98c57f47ea1d1f	12	Pop (general)	54191	mythri.it
c77b66ef18eacd120114a81b8d02a6d0	55	Demo Style	187877	dest.it
c77f95831052a0462d4cdb8e7240f637	7	Electronic - Techno	72319	tempo_sb_89_gus_8c.s3m
c78051125da13a8907e0784842ffb62c	60	Electronic - Jungle	213299	nrg.mod
c78070e8f180a0977bf0f9710c2cded9	6	Electronic - Drum &amp; Bass	50694	merdemu.mod
c781587a108d53d868a6c3cd092533b0	6	Electronic - Drum &amp; Bass	44317	gunny.s3m
c7820a07d93f119fc180c728fd297cd4	56	Ballad	162518	echo_pl_-_thoughts.xm
c783564b053ef8278d9a6792c9442427	1	Electronic (general)	143061	bubbles.xm
c78928fd40b0625317c460a35bf135c1	54	Chiptune	169932	robric235.xm
c78bf2ba0fe38683e3354ab89deb0c2a	54	Chiptune	54225	pd-tte.xm
c79242114236bfb682cde15c8a4bd6f2	36	Metal (general)	32417	a--urban.it
c79fc634f0eddc03f4fcda4c1e4d0254	15	Rock - Soft	196063	hkvalhe_-_adorable.med
c7a281795517cbdd11810b5ac99410e5	8	Video Game	211139	fantasy_time.mod
c7a328de4bb38fbab75e75b70e0b84fd	3	Electronic - Dance	193612	mpxvm_fumix178_ft2.xm
c7a592151396ec78a155ba9ac5413ff3	21	Folk	59927	w-cl.it
c7a700b0fcbaf9d1215170c77576f235	55	Demo Style	83075	smoke-bomb.mod
c7a73957e6a5e225421ca8fa4c649ca5	30	Jazz - Acid	121115	arc-moist.mod
c7a80324d234773000e59ef3e0f90b8e	13	Rock (general)	38751	composynth.xm
c7aa294c3df6310733decf8cd71a841d	27	Reggae	66074	bruno_-_jum-hop_of_stranger.mod
c7ad2c22aaa223aeebe659831cff097b	12	Pop (general)	204145	samplr_-_flex.mod
c7b0f43ce4755d9cc9b016cab7d42f09	6	Electronic - Drum &amp; Bass	165079	taken.xm
c7b2f51ce73c1ed7d4bfbac983d5dceb	54	Chiptune	41380	dt_orion.xm
c7b520d6b09d9bd115d2351a960d47b4	53	One Hour Compo	166786	jk_sweetbouncing.xm
c7ba874f1486dbc992e0ea35cc092443	13	Rock (general)	178306	blackcloudedorange.mptm
c7c116d2d4ba93dc1c8f9e5319accf32	54	Chiptune	58149	ub-cnflct.xm
c7c3dbb1310cc504de9fb44d722490b2	13	Rock (general)	63707	tomorrow.s3m
c7c721acde6d01e4a315fa24673599d0	55	Demo Style	67202	skaven-invtro94_music.s3m
c7c8fe0686d576eed1c9eeaf0d415d6a	71	Trance (general)	55465	playbass.xm
c7caa3d680c1f77a00d241efcfb200b2	48	Alternative	44404	INTOXIC.XM
c7cab3226ad543bcb561f2d6e9a3ece9	54	Chiptune	165905	gm-funkyg.it
c7cb7be5a640063a303b618dbde1c88b	2	Electronic - Ambient	48258	krohe.xm
c7cc6e8a12ed23f8f89e6d6829a48f19	71	Trance (general)	32391	AUTUMNS.S3M
c7cfd7158820556141c514cc78f49424	2	Electronic - Ambient	146307	pink_pen_progression.xm
c7d1853b06f0e060fc1a454cf78d020f	54	Chiptune	171489	pink_-_eclipse.mod
c7d4d160762b610397d2243e565e5e03	43	Soundtrack	165640	dgreyman.xm
c7d63f85d841412eae70c70e458fba77	3	Electronic - Dance	58492	uknowit.s3m
c7d81290a8e1a645978010139e6fcc72	3	Electronic - Dance	86506	pop-el.mod
c7db7fe5a20e498c489cce126bbca6d9	66	Trance - Goa	178132	home_sweet_home_remix.xm
c7de350b7511309ef68e36cc42789699	7	Electronic - Techno	169194	newdest.xm
c7df10c7af36ab1f9dfc09370a160a86	1	Electronic (general)	169610	gm-vxcrmx.it
c7e0d4d4c73c620332c656a07072d917	61	Pop - Synth	51677	nosotr_x.it
c7e1f2b79e9e1fdab7c7d6842dcb2d57	8	Video Game	38188	colditz.mod
c7e28930a7f6a98dc863729483816d52	54	Chiptune	46805	ivotefor.mod
